优先级,SHA,日期,分类,类型,优化内容,Ascend价值,迁移策略,Patch冲突,工作量,风险,关键文件,迁移步骤,验证场景
P2,d223c900,2026-07-28,model-architecture,bugfix,"【变更概述】修复 transformers backend 中 value padding 逻辑，仅在 value 维度更窄时才进行 padding，避免不必要的 padding。
【PR号】#500",medium,auto-inherit,否,S,medium-risk,vllm/model_executor/models/transformers/__init__.py,确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,确认 model-architecture 模块在 Ascend 行为一致
P3,52c3c4a4,2026-07-28,test-ci,bugfix,"【变更概述】修复 OBJ（对象存储）KV Offload 在清理期间作业完成状态丢失的问题。
【PR号】#49947
【变更类型】bugfix - KV Offload 清理修复
【变更文件】vllm",low,auto-inherit,否,S,low-risk,"tests/v1/kv_offload/tiering/test_obj_tier.py, vllm/v1/kv_offload/tiering/obj/manager.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P3,a8f29608,2026-07-28,test-ci,bugfix,"【变更概述】使 KV Offload 的紧凑二级标识（compact secondary identity）与 TP（张量并行）无关，简化跨 TP 配置的 KV 迁移。
【PR号】#49858
【变更",low,auto-inherit,否,S,low-risk,"tests/v1/kv_offload/test_file_mapper.py, tests/v1/kv_offload/tiering/test_fs_tier.py, tests/v1/kv_offload/tiering/test_obj_tier.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P2,fbb1ef68,2026-07-28,model-architecture,bugfix,"【变更概述】修复 DeepseekV4FP8 Quark MXFP4 量化在遇到列表值权重时的崩溃问题。
【PR号】#49634
【变更类型】bugfix - 量化崩溃修复
【变更文件】vllm/mo",medium,auto-inherit,否,S,medium-risk,vllm/models/deepseek_v4/quant_config.py,确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,确认 model-architecture 模块在 Ascend 行为一致
P3,33fe71a4,2026-07-28,test-ci,bugfix,"【变更概述】回退 AMD MXFP4 MoE backend 的 TRITON_UNFUSED 回退逻辑，恢复原有行为。
【PR号】#46491
【变更类型】bugfix - 回退 MoE backe",low,auto-inherit,否,S,low-risk,"tests/kernels/moe/test_ocp_mx_moe.py, tests/quantization/test_gfx950_moe.py, vllm/model_executor/layers/fused_moe/oracle/mxfp4.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P2,02b6ecf0,2026-07-28,attention-kv-cache,performance,"【变更概述】优化 ROCm sparse MLA decode 热循环，消除逐 decode 的 FillFunctor 启动开销。
【PR号】#44527
【变更类型】performance - R",medium,idea-copy,否,L,medium-risk,vllm/v1/attention/ops/rocm_aiter_mla_sparse.py,理解上游优化思路（vllm/v1/attention/ops/rocm_aiter_mla_sparse.py） | 用 Ascend 算子（TBE/AscendCL）重新实现 | 性能对比验证收益,确认 attention-kv-cache 模块在 Ascend 行为一致
P3,12068918,2026-07-28,distributed,bugfix,"【变更概述】修复 ROCm MoRI-IO KV Connector 在 WRITE 模式下远程 TP rank 坍缩问题。
【PR号】#47764
【变更类型】bugfix - KV Connect",low,auto-inherit,否,S,low-risk,"vllm/distributed/kv_transfer/kv_connector/v1/moriio/moriio_common.py, vllm/distributed/kv_transfer/kv_connector/v1/moriio/moriio_connector.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P2,381b6916,2026-07-29,test-ci,bugfix,【变更概述】修复 Kimi K3 的 KDA（Kernel Delta Attention）在 ROCm 平台上的支持问题。在 vllm/models/kimi_k3/nvidia/kda.py 的 ,medium,auto-inherit,否,S,medium-risk,".buildkite/test-amd.yaml, vllm/models/kimi_k3/nvidia/kda.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,确认 test-ci 模块在 Ascend 行为一致
P2,d6247d71,2026-07-29,test-ci,performance,【变更概述】将 DSpark（Qwen3-DSpark）的 Markov head 在各 TP rank 上复制而非分片，避免每个 draft 位置增加 all-reduce 与全词表 gather。,medium,auto-inherit,否,S,medium-risk,"tests/v1/sample/test_head_dtype.py, vllm/model_executor/layers/logits_processor.py, vllm/model_executor/layers/vocab_parallel_embedding.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,确认 test-ci 模块在 Ascend 行为一致
P3,a0c092ee,2026-07-29,test-ci,bugfix,【变更概述】修复异步调度（AsyncScheduler）下请求被抢占时 num_output_placeholders 下溢的 bug。此前抢占后仍有在途的 stale output 帧返回，会错误递,low,auto-inherit,否,S,low-risk,"tests/v1/core/test_async_scheduler.py, tests/v1/core/test_scheduler.py, vllm/v1/core/sched/async_scheduler.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P3,e0cfa52d,2026-07-29,other,bugfix,【变更概述】修复语音转文字（speech-to-text）接口中 transcription 与 translation 的 verbose 字段类型，由字符串/整型改为 float 返回，符合 Op,low,auto-inherit,否,S,low-risk,"vllm/entrypoints/speech_to_text/base/serving.py, vllm/entrypoints/speech_to_text/transcription/protocol.py, vllm/entrypoints/speech_to_text/translation/protocol.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P3,72297d85,2026-07-29,other,performance,"【变更概述】将 XPU 平台上无权重（weightless）的 RMSNorm 路由到 _C 扩展分发路径，删除 vllm/kernels/xpu_ops.py 中冗余的实现（-6 行）。
【PR号】",low,auto-inherit,否,S,low-risk,vllm/kernels/xpu_ops.py,确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P2,aeaa50a7,2026-07-29,test-ci,bugfix,【变更概述】修复多模态缓存哈希未包含媒体 IO 配置（如图片/视频处理参数）的 bug，导致不同 IO 配置的多模态输入会错误命中同一缓存。修改 vllm/multimodal/hasher.py（+,medium,auto-inherit,否,S,medium-risk,"tests/multimodal/test_hasher.py, vllm/multimodal/hasher.py, vllm/multimodal/media/base.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,确认 test-ci 模块在 Ascend 行为一致
P2,32e657e6,2026-07-29,test-ci,bugfix,【变更概述】修复 Eagle 投机解码 draft 模型 max_position_embeddings 处理 bug。修改 vllm/config/speculative.py（+43/-0）校验并,medium,config-align,否,M,medium-risk,"tests/config/test_speculative_draft_max_position_embeddings.py, tests/v1/spec_decode/test_llm_base_proposer.py, vllm/config/speculative.py",同步 vllm/config/ 下的默认值 | 验证 Ascend 侧配置语义一致,确认 test-ci 模块在 Ascend 行为一致
P2,65a1a165,2026-07-29,operator-kernel,bugfix,【变更概述】修复 CPU 平台 FP8 attention 的 scratchpad 大小计算问题。修改 csrc/cpu/cpu_attn.cpp、torch_bindings.cpp、vllm/_,medium,idea-copy,否,L,medium-risk,"csrc/cpu/cpu_attn.cpp, csrc/cpu/torch_bindings.cpp, tests/kernels/attention/test_cpu_attn.py",理解上游优化思路（csrc/cpu/cpu_attn.cpp） | 用 Ascend 算子（TBE/AscendCL）重新实现 | 性能对比验证收益,确认 operator-kernel 模块在 Ascend 行为一致
P3,db7a79cb,2026-07-29,operator-kernel,bugfix,【变更概述】修复 s390x（IBM Z 架构）构建问题并更新 dockerfile 中的 torch 版本。修改 csrc/cpu/cpu_types_vxe.hpp、docker/Dockerfi,low,idea-copy,否,L,low-risk,"csrc/cpu/cpu_types_vxe.hpp, docker/Dockerfile.s390x",理解上游优化思路（csrc/cpu/cpu_types_vxe.hpp） | 用 Ascend 算子（TBE/AscendCL）重新实现 | 性能对比验证收益,
P2,837eae64,2026-07-30,test-ci,bugfix,【变更概述】DeepSeek V4 性能优化，移除 flashmla sparse prefill 中冗余的 full kernel 调用，内核性能提升 1.88x。修改 combine_topk_s,medium,auto-inherit,否,S,medium-risk,"tests/kernels/attention/test_flashmla_sparse.py, vllm/models/deepseek_v4/common/ops/cache_utils.py, vllm/models/deepseek_v4/nvidia/flashmla.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,确认 test-ci 模块在 Ascend 行为一致
P2,904fae8b,2026-07-30,model-architecture,bugfix,【变更概述】DeepSeek V4 显存优化，修复 pipeline parallel 场景下 _mtp_hidden_buffer 的冗余分配与拷贝，节省 448 MiB GPU 显存。原实现无论是,medium,auto-inherit,否,S,medium-risk,"vllm/models/deepseek_v4/amd/model.py, vllm/models/deepseek_v4/nvidia/model.py, vllm/models/deepseek_v4/xpu/model.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,确认 model-architecture 模块在 Ascend 行为一致
P2,5b958907,2026-07-30,test-ci,bugfix,【变更概述】修复 FlexAttention 编码器场景下 block-mask 编译爆炸问题，避免编译时间过长或 OOM。修改 vllm/config/attention.py 与 vllm/v1/,medium,config-align,否,M,medium-risk,"tests/entrypoints/pooling/embed/test_online_long_text.py, tests/kernels/test_flex_attention.py, vllm/config/attention.py",同步 vllm/config/ 下的默认值 | 验证 Ascend 侧配置语义一致,确认 test-ci 模块在 Ascend 行为一致
P3,59e831c0,2026-07-30,test-ci,performance,【变更概述】新增编译 pass：将 Transformers 的 Residual Add 与 RMSNorm 算子融合。在 vllm/compilation/passes/fusion/add_rm,low,auto-inherit,否,S,low-risk,"tests/compile/passes/test_rmsnorm_reshape_fusion.py, vllm/compilation/passes/fusion/add_rms_fusion.py, vllm/compilation/passes/pass_manager.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P3,e04a30a7,2026-07-30,test-ci,bugfix,"【变更概述】前端 chat_utils 延迟初始化媒体连接器，避免不必要的初始化开销。
【PR号】#49914
【变更类型】refactor - 延迟初始化
【变更文件】tests/entrypoin",low,auto-inherit,否,S,low-risk,"tests/entrypoints/unit_tests/test_chat_utils.py, vllm/entrypoints/chat_utils.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P2,b8891661,2026-07-30,test-ci,bugfix,【变更概述】Triton prefix-prefill 算子支持 cached K/V（key/value=None）场景，修改 vllm/v1/attention/ops/prefix_prefil,medium,auto-inherit,否,S,medium-risk,"tests/kernels/attention/test_prefix_prefill.py, vllm/v1/attention/ops/prefix_prefill.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,确认 test-ci 模块在 Ascend 行为一致
P3,4e582c5b,2026-07-30,test-ci,bugfix,【变更概述】P/D 分离场景下，将 KV lease 截止时间从全局时钟重算到 worker 本地时钟，修复 NIXL connector 的 lease 超时判断偏差。修改 nixl base_sc,low,auto-inherit,否,S,low-risk,"tests/v1/kv_connector/unit/test_nixl_connector.py, vllm/distributed/kv_transfer/kv_connector/v1/nixl/base_scheduler.py, vllm/distributed/kv_transfer/kv_connector/v1/nixl/metadata.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P3,437e0b7f,2026-07-30,test-ci,bugfix,【变更概述】修复 P/D 分离下的抢占竞态条件。修改核心 vllm/v1/core/sched/scheduler.py 与多个 kv_connector（base/multi_connector/o,low,auto-inherit,否,S,low-risk,"tests/v1/core/test_async_scheduler.py, tests/v1/core/utils.py, vllm/distributed/kv_transfer/kv_connector/v1/base.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
skip,451227cb,2026-07-30,operator-kernel,bugfix,[Bugfix][Kernel] Fix integer overflow in libtorch_stable/activation_kernels.cu (#49660),none,skip,否,S,low-risk,csrc/libtorch_stable/activation_kernels.cu,,
P3,b28c178f,2026-07-30,other,bugfix,"【变更概述】修复 Quark 量化模型在推测解码场景下 FusedMoE 触发的 AssertionError。注：该 commit 未携带文件级变更统计（patch 为空，疑似合并/纯逻辑修复）。
",low,auto-inherit,否,S,low-risk,(无文件变更信息),确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P3,48aa8d8d,2026-07-30,test-ci,bugfix,"【变更概述】修复多进程执行器中陈旧 RPC deadline 变成无限等待的问题，修改 shm_broadcast 与 multiproc_executor，新增超时测试。
【PR号】#41357
【",low,auto-inherit,否,S,low-risk,"tests/v1/executor/test_multiproc_executor_timeout.py, vllm/distributed/device_communicators/shm_broadcast.py, vllm/v1/executor/multiproc_executor.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P2,a0cd2b69,2026-07-31,test-ci,bugfix,【变更概述】【MRV2 commit】将 block table 宽度的 128-token 对齐逻辑统一抽取为 get_block_table_width 函数，替换此前分散在 model_runn,medium,auto-inherit,否,S,medium-risk,"tests/v1/attention/test_indexer_deepseek_v4_slot_mapping.py, tests/v1/attention/test_mla_backends.py, tests/v1/worker/test_gpu_model_runner.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,确认 test-ci 模块在 Ascend 行为一致
P3,94e9ef07,2026-07-31,test-ci,bugfix,【变更概述】修复融合 MoE（Fused MoE）权重加载中对量化 scale 转置的问题。此前 RoutedExperts.load_weights 在加载融合 expert 权重时，会根据 hid,low,auto-inherit,否,S,low-risk,"tests/kernels/moe/test_moe_weight_loading_padded.py, vllm/model_executor/layers/fused_moe/routed_experts.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P2,df71917c,2026-07-31,operator-kernel,performance,【变更概述】【DSv4 性能优化】为 DeepSeek V4 的 attention eager break 路径引入 DeepseekV4EagerScratchPool（137 行新文件），预分配,medium,idea-copy,否,L,medium-risk,"csrc/libtorch_stable/fused_deepseek_v4_qnorm_rope_kv_insert_kernel.cu, csrc/libtorch_stable/ops.h, csrc/libtorch_stable/torch_bindings.cpp",理解上游优化思路（csrc/libtorch_stable/fused_deepseek_v4_qnorm_rope_kv_insert_kernel.cu） | 用 Ascend 算子（TBE/AscendCL）重新实现 | 性能对比验证收益,确认 operator-kernel 模块在 Ascend 行为一致
P3,5233368d,2026-07-31,moe-fusion,bugfix,【变更概述】为 ROCm gfx942 平台添加 MXFP4 仿真回退路径。当 AITER MXFP4 后端不可用时，回退到 EMULATION 后端，使用 W4A16（仅权重量化）模式运行 MXFP,low,auto-inherit,否,S,low-risk,"vllm/model_executor/layers/fused_moe/experts/ocp_mx_emulation_moe.py, vllm/model_executor/layers/fused_moe/experts/triton_moe.py, vllm/model_executor/layers/fused_moe/oracle/mxfp4.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P3,0b5b49dd,2026-07-31,test-ci,bugfix,【变更概述】将 vllm/entrypoints/chat_utils.py 中多处面向用户的 ValueError 替换为 VLLMValidationError，提供更精确的错误类型和参数信息。涉,low,auto-inherit,否,S,low-risk,"tests/entrypoints/unit_tests/test_chat_utils.py, tests/renderers/test_chat_utils_prompt_embeds.py, vllm/entrypoints/chat_utils.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P3,f5ffc59b,2026-07-31,other,bugfix,【变更概述】修复 renderer 预热（warmup）流程，将其从 OpenAIServingChat 统一移到 OnlineRenderer 和 LLM 类中。此前 warmup 由 OpenAI,low,auto-inherit,否,S,low-risk,"vllm/entrypoints/generate/api_router.py, vllm/entrypoints/llm.py, vllm/entrypoints/openai/api_server.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P2,92643d68,2026-07-31,model-architecture,performance,【变更概述】为 Kimi K3 DSpark（推测解码）模型实现 all-reduce + residual-add + RMSNorm 融合优化。核心改动将 vllm/models/deepseek,medium,auto-inherit,否,S,medium-risk,"vllm/models/common/ops/__init__.py, vllm/models/common/ops/fused_allreduce_rms_norm.py, vllm/models/deepseek_v32/amd/model.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,确认 model-architecture 模块在 Ascend 行为一致
P2,17beffd5,2026-07-31,test-ci,bugfix,【变更概述】明确 split_audio 函数要求单声道（1D）音频输入，并增加多声道输入的显式校验。在 vllm/multimodal/audio.py 中，将 split_audio 的 audi,medium,auto-inherit,否,S,medium-risk,"docs/features/multimodal_inputs.md, tests/multimodal/test_audio.py, vllm/entrypoints/speech_to_text/base/serving.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,确认 test-ci 模块在 Ascend 行为一致
P2,f727951d,2026-07-31,test-ci,bugfix,【变更概述】重新合入（re-land）MiniMax M3 的默认视频处理器修复。在 vllm/models/minimax_m3/common/mm_preprocess.py 中，为 MiniMa,medium,auto-inherit,否,S,medium-risk,"tests/multimodal/test_video.py, vllm/model_executor/layers/fused_allreduce_gemma_rms_norm.py, vllm/models/minimax_m3/common/mm_preprocess.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,确认 test-ci 模块在 Ascend 行为一致
P2,10e6b400,2026-07-31,test-ci,bugfix,【变更概述】修复 CPU attention backend 中冗余的 KV cache 写入问题。在 vllm/v1/attention/backends/cpu_attn.py 中，重构 KV c,medium,auto-inherit,否,S,medium-risk,".buildkite/scripts/hardware_ci/run-cpu-test-arm.sh, tests/kernels/attention/test_cpu_attn.py, vllm/v1/attention/backends/cpu_attn.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,确认 test-ci 模块在 Ascend 行为一致
P2,3ee2bd13,2026-07-31,model-architecture,bugfix,【变更概述】修复 HunyuanVL 模型图像边界 token 重复的问题。此前 dummy 输入仅使用 image_token，且 PromptReplacement 的 target 仅匹配单个 ,medium,auto-inherit,否,S,medium-risk,vllm/model_executor/models/hunyuan_vision.py,确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,确认 model-architecture 模块在 Ascend 行为一致
P2,bebf9180,2026-07-31,test-ci,bugfix,【变更概述】为 JinaEmbeddingsV5Model 新增 JinaEmbeddingsV5ModelConfig 配置处理器，在加载时检测 hf_config.is_decoder，若为 Fa,medium,auto-inherit,否,S,medium-risk,"tests/models/language/pooling/test_jina_embeddings_v5.py, vllm/model_executor/models/config.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,确认 test-ci 模块在 Ascend 行为一致
P3,1d8be5cb,2026-07-31,other,bugfix,【变更概述】将 deepseek_v4_fp8 加入 XPUPlatform 的 supported_quantization 列表，使 DeepSeek V4 FP8 量化方法在 Intel XPU,low,auto-inherit,否,S,low-risk,vllm/platforms/xpu.py,确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P3,ef0d084b,2026-07-31,other,bugfix,【变更概述】修复 XPU FP8 block-scaled GEMM kernel 的 scale 布局以兼容 MLA。此前 process_weights_after_loading 将 scale,low,auto-inherit,否,S,low-risk,vllm/model_executor/kernels/linear/scaled_mm/xpu.py,确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P3,4689c7dd,2026-07-31,other,performance,【变更概述】为 AMD Instinct MI325X 显卡新增 selective_state_update Triton 内核的 float16 调优配置。配置文件针对 headdim=64、ds,low,auto-inherit,否,S,low-risk,"vllm/model_executor/layers/mamba/ops/configs/selective_state_update/headdim=64,dstate=128,device_name=AMD_Instinct_MI325X,cache_dtype=float16.json",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P3,d91f7af7,2026-07-31,test-ci,bugfix,【变更概述】修复 ROCm DeepEP 的 FP8 dispatch 量化上界问题。将 DeepEP 构建分支从 a9ea9774 升级到 0f63d3e9，并在构建时传入 --rocm-gfx94,low,idea-copy,否,L,low-risk,"docker/Dockerfile.rocm, tests/kernels/moe/test_deepep_moe.py",理解上游优化思路（docker/Dockerfile.rocm） | 用 Ascend 算子（TBE/AscendCL）重新实现 | 性能对比验证收益,
P3,ab98034d,2026-07-31,test-ci,bugfix,【变更概述】修复 Kimi K3 工具调用 ID 在多轮会话中重复的问题。此前解析器根据 XTML 的 index 属性生成形如 {tool}:{index} 的 ID（如 calc:0），该 ID ,low,auto-inherit,否,S,low-risk,"rust/src/chat/src/renderer/kimi_k3/encoding.rs, rust/src/chat/src/renderer/kimi_k3/tests.rs, rust/src/parser/src/unified/kimi_k3.rs",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P2,f1899b2f,2026-07-31,test-ci,bugfix,【变更概述】修复 ROCm AITER MLA 在 MTP（Multi-Token Prediction）验证阶段的 decode 元数据尺寸问题。此前 get_mla_metadata_info_v,medium,idea-copy,否,L,medium-risk,"tests/v1/attention/test_rocm_aiter_mla_mtp_split.py, vllm/v1/attention/backends/mla/rocm_aiter_mla.py",理解上游优化思路（tests/v1/attention/test_rocm_aiter_mla_mtp_split.py） | 用 Ascend 算子（TBE/AscendCL）重新实现 | 性能对比验证收益,确认 test-ci 模块在 Ascend 行为一致
skip,d6938b74,2026-07-31,other,bugfix,[Bugfix][Rust Frontend] Select earliest-completing stop string (#50200),none,skip,否,S,low-risk,rust/src/text/src/output/decoded.rs,,
P3,0bff0ce5,2026-07-31,test-ci,bugfix,【变更概述】修复 DeepGEMM MoE 在 Kimi K3 配置下的 ep_gather 内核问题。Kimi K3 的 latent-MoE hidden_size（如 3584）不能被 1024,low,auto-inherit,否,S,low-risk,"tests/kernels/moe/test_deepgemm.py, vllm/model_executor/layers/fused_moe/deep_gemm_utils.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P3,39f55ffd,2026-08-01,other,performance,【变更概述】将 AsyncLLM 中原始提示词（raw prompt）的预处理（tokenization 和多模态处理）从事件循环同步调用改为卸载到渲染器线程池异步执行。当请求包含原始文本提示词（非已,low,auto-inherit,否,S,low-risk,"vllm/v1/engine/async_llm.py, vllm/v1/engine/input_processor.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
skip,ab064861,2026-08-01,operator-kernel,bugfix,[Bugfix][Kernel] Fix dangling temporary in AWQ gemm torch::stable::sum dim arg (#46805),none,skip,否,S,low-risk,csrc/libtorch_stable/quantization/awq/gemm_kernels.cu,,
P2,77469c90,2026-08-01,test-ci,bugfix,【变更概述】修复 ROCm 平台 AITER MLA 注意力后端在小头（small-head）验证场景下 flatten 操作的因果掩码问题。当 MLA 模型在 ROCm 上使用 AITER 后端进行,medium,idea-copy,否,L,medium-risk,"tests/kernels/attention/test_rocm_aiter_mla_causal_verify_mask.py, vllm/v1/attention/backends/mla/rocm_aiter_mla.py",理解上游优化思路（tests/kernels/attention/test_rocm_aiter_mla_causal_verify_mask.py） | 用 Ascend 算子（TBE/AscendCL）重新实现 | 性能对比验证收益,确认 test-ci 模块在 Ascend 行为一致
P3,6c91de36,2026-08-01,other,bugfix,【变更概述】修复推理解析器（reasoning parser）未将 model_config 转发给嵌套解析器的问题。单行修复，确保嵌套的 reasoning parser 能够接收 model_co,low,auto-inherit,否,S,low-risk,vllm/parser/abstract_parser.py,确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P2,f7097a92,2026-08-01,model-architecture,bugfix,【变更概述】修复导入 vllm.models.common.ops 时意外初始化 CUDA 的问题。此前 __init__.py 导出 fused_allreduce_rms_norm 会触发 CUD,medium,auto-inherit,否,S,medium-risk,"vllm/models/common/ops/__init__.py, vllm/models/deepseek_v32/amd/model.py, vllm/models/deepseek_v32/nvidia/model.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,确认 model-architecture 模块在 Ascend 行为一致
skip,c4a4a42d,2026-08-01,test-ci,bugfix,[Bugfix][Test] Fix monolithic routing replay test buffer capacity (#50640),none,skip,否,S,low-risk,tests/kernels/moe/test_routed_experts_capture_monolithic.py,,
P2,68ca6fd0,2026-08-03,config,bugfix,【变更概述】移除 SpeculativeConfig 中针对 DSpark 投机解码方法的错误启动断言。该断言要求 num_speculative_tokens >= dspark_block_siz,medium,config-align,否,S,medium-risk,vllm/config/speculative.py,同步 vllm/config/ 下的默认值 | 验证 Ascend 侧配置语义一致,确认 config 模块在 Ascend 行为一致
P3,ec40f6a8,2026-08-03,other,bugfix,【变更概述】修复 CPU-only 主机上 torch.compile 因调用 torch.accelerator.synchronize 而崩溃的问题。在 CPU-only 环境下 torch.ac,low,auto-inherit,否,S,low-risk,"vllm/v1/worker/cpu/shm.py, vllm/v1/worker/cpu_model_runner.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P2,89ac407e,2026-08-03,test-ci,performance,【变更概述】优化多模态占位符（placeholder）和 token 匹配扫描的性能。重构 vllm/multimodal/processing/processor.py (+97/-44) 的扫描逻,medium,auto-inherit,否,S,medium-risk,"tests/multimodal/test_processing.py, vllm/multimodal/processing/processor.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,确认 test-ci 模块在 Ascend 行为一致
P2,d83eb0b3,2026-08-03,test-ci,bugfix,【变更概述】安全修复：将 NVIDIA DeepStream 视频处理管线正确分类为 GPU 后端，并强制执行视频像素限制。修改 vllm/multimodal/video.py 和 vllm/mul,medium,auto-inherit,否,S,medium-risk,"tests/multimodal/media/test_video.py, vllm/multimodal/media/video.py, vllm/multimodal/video.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,确认 test-ci 模块在 Ascend 行为一致
P2,4635cc3e,2026-08-03,moe-fusion,performance,【变更概述】为 Kimi-K3 Latent-MoE 的 fused path 新增基于 token 数量的三级 tail 实现调度机制（LatentTailTier）。重构 latent_moe_r,medium,auto-inherit,否,S,medium-risk,"vllm/model_executor/layers/fused_moe/runner/latent_moe_runner.py, vllm/models/kimi_k3/nvidia/model.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,确认 moe-fusion 模块在 Ascend 行为一致
P3,2755489a,2026-08-03,test-ci,bugfix,【变更概述】修复 INC（Intel Neural Compressor）w4a4 量化模型的问题。修改 vllm/model_executor/layers/quantization/inc/sch,low,auto-inherit,否,S,low-risk,"tests/quantization/test_auto_round.py, vllm/model_executor/layers/quantization/inc/schemes/inc_mxfp4_linear.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P3,f5bb701f,2026-08-03,test-ci,bugfix,【变更概述】在 Anthropic API 兼容入口点约束 cache_salt 为非空。修改 vllm/entrypoints/anthropic/protocol.py (+1) 添加非空约束，新,low,auto-inherit,否,S,low-risk,"tests/entrypoints/anthropic/test_anthropic_messages_conversion.py, vllm/entrypoints/anthropic/protocol.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P3,5e35a6f4,2026-08-03,other,performance,【变更概述】当编译模式为 CompilationMode.NONE 时跳过 CPU model runner 的 warm up 阶段。修改 vllm/v1/worker/cpu_model_runn,low,auto-inherit,否,S,low-risk,vllm/v1/worker/cpu_model_runner.py,确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P3,5c4fe4b1,2026-08-03,test-ci,bugfix,【变更概述】修复 Mooncake KV Connector 在合并的 store 组间未正确传播 EAGLE 投机解码状态的问题。重构 vllm/distributed/kv_transfer/kv,low,auto-inherit,否,S,low-risk,"tests/v1/kv_connector/unit/test_mooncake_store_coordinator.py, vllm/distributed/kv_transfer/kv_connector/v1/mooncake/store/coordinator.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
skip,e42c230e,2026-08-03,test-ci,bugfix,[Bugfix] serving_llama70B_tp4 benchmark was silently running at tensor_parallel_size=1 (#50766),none,skip,否,S,low-risk,.buildkite/performance-benchmarks/tests/serving-tests.json,,
P3,7b50d2c0,2026-08-04,moe-fusion,performance,【变更概述】重构 vllm/model_executor/layers/fused_moe/all2all_utils.py，避免在每次 `vllm serve` 配置生成时都导入 nixl_ep。将,low,auto-inherit,否,S,low-risk,vllm/model_executor/layers/fused_moe/all2all_utils.py,确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
skip,122b3d46,2026-08-04,operator-kernel,bugfix,[Bugfix][CPU] Fix macOS build: std::sqrt is not constexpr under libc++ (#50915),none,skip,否,S,low-risk,csrc/cpu/sgl-kernels/fla.cpp,,
P3,199644d4,2026-08-04,test-ci,bugfix,【变更概述】修复 sparse MLA 在 masked MHA 路径下 workspace 未正确保护导致的潜在问题。修改 vllm/model_executor/layers/attention/,low,auto-inherit,否,S,low-risk,"tests/v1/attention/test_sparse_mla_backends.py, vllm/model_executor/layers/attention/mla_attention.py, vllm/model_executor/layers/attention/sparse_mla_attention.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
